Epoch 91 | Train 0.6679 | Val 0.4967 | LR 0.0002756
Epoch 92 | Train 0.6731 | Val 0.4995 | LR 0.0002751
Epoch 93 | Train 0.6731 | Val 0.4994 | LR 0.0002746
Epoch 94 | Train 0.6764 | Val 0.4946 | LR 0.0002741
Epoch 95 | Train 0.6686 | Val 0.5050 | LR 0.0002735
Epoch 96 | Train 0.6689 | Val 0.4881 | LR 0.0002730
Epoch 97 | Train 0.6622 | Val 0.4950 | LR 0.0002725
Epoch 98 | Train 0.6695 | Val 0.4890 | LR 0.0002719
Epoch 99 | Train 0.6618 | Val 0.4921 | LR 0.0002714
Epoch 100 | Train 0.6660 | Val 0.4911 | LR 0.0002708
Epoch 101 | Train 0.6594 | Val 0.4998 | LR 0.0002702
Epoch 102 | Train 0.6623 | Val 0.4923 | LR 0.0002697
Epoch 103 | Train 0.6597 | Val 0.4880 | LR 0.0002691
Epoch 104 | Train 0.6560 | Val 0.4899 | LR 0.0002685
Epoch 105 | Train 0.6540 | Val 0.4902 | LR 0.0002680
Epoch 106 | Train 0.6509 | Val 0.4952 | LR 0.0002674
Epoch 107 | Train 0.6510 | Val 0.4900 | LR 0.0002668
Epoch 108 | Train 0.6536 | Val 0.4928 | LR 0.0002662
Epoch 109 | Train 0.6443 | Val 0.5075 | LR 0.0002656
Epoch 110 | Train 0.6471 | Val 0.4870 | LR 0.0002650
Epoch 111 | Train 0.6503 | Val 0.4907 | LR 0.0002644
Epoch 112 | Train 0.6479 | Val 0.4899 | LR 0.0002638
Epoch 113 | Train 0.6501 | Val 0.4903 | LR 0.0002631
Epoch 114 | Train 0.6433 | Val 0.4855 | LR 0.0002625
Epoch 115 | Train 0.6385 | Val 0.4969 | LR 0.0002619
Epoch 116 | Train 0.6332 | Val 0.4873 | LR 0.0002613
Epoch 117 | Train 0.6416 | Val 0.4929 | LR 0.0002606
Epoch 118 | Train 0.6358 | Val 0.4861 | LR 0.0002600
Epoch 119 | Train 0.6405 | Val 0.4897 | LR 0.0002594
Epoch 120 | Train 0.6437 | Val 0.4846 | LR 0.0002587
Epoch 121 | Train 0.6453 | Val 0.4814 | LR 0.0002581
Epoch 122 | Train 0.6331 | Val 0.4831 | LR 0.0002574
Epoch 123 | Train 0.6368 | Val 0.4881 | LR 0.0002567
Epoch 124 | Train 0.6444 | Val 0.4816 | LR 0.0002561
Epoch 125 | Train 0.6387 | Val 0.4917 | LR 0.0002554
Epoch 126 | Train 0.6252 | Val 0.4814 | LR 0.0002547
Epoch 127 | Train 0.6195 | Val 0.4784 | LR 0.0002541
Epoch 128 | Train 0.6280 | Val 0.4830 | LR 0.0002534
Epoch 129 | Train 0.6328 | Val 0.4776 | LR 0.0002527
Epoch 130 | Train 0.6300 | Val 0.4849 | LR 0.0002520
Epoch 131 | Train 0.6270 | Val 0.4832 | LR 0.0002513
Epoch 132 | Train 0.6314 | Val 0.4825 | LR 0.0002506
Epoch 133 | Train 0.6244 | Val 0.4836 | LR 0.0002499
Epoch 134 | Train 0.6251 | Val 0.4885 | LR 0.0002492
Epoch 135 | Train 0.6205 | Val 0.4789 | LR 0.0002485
Epoch 136 | Train 0.6241 | Val 0.4808 | LR 0.0002478
Epoch 137 | Train 0.6257 | Val 0.4781 | LR 0.0002471
Epoch 138 | Train 0.6237 | Val 0.4839 | LR 0.0002464
Epoch 139 | Train 0.6196 | Val 0.4814 | LR 0.0002456
Epoch 140 | Train 0.6138 | Val 0.4835 | LR 0.0002449
Epoch 141 | Train 0.6168 | Val 0.4781 | LR 0.0002442
Epoch 142 | Train 0.6157 | Val 0.4838 | LR 0.0002434
Epoch 143 | Train 0.6187 | Val 0.4747 | LR 0.0002427
Epoch 144 | Train 0.6099 | Val 0.4763 | LR 0.0002420
Epoch 145 | Train 0.6092 | Val 0.4809 | LR 0.0002412
Epoch 146 | Train 0.6115 | Val 0.4747 | LR 0.0002405
Epoch 147 | Train 0.6081 | Val 0.4763 | LR 0.0002397
Epoch 148 | Train 0.6136 | Val 0.4728 | LR 0.0002389
Epoch 149 | Train 0.6078 | Val 0.4757 | LR 0.0002382
Epoch 150 | Train 0.6026 | Val 0.4795 | LR 0.0002374
Epoch 151 | Train 0.6014 | Val 0.4859 | LR 0.0002367
Epoch 152 | Train 0.6110 | Val 0.4808 | LR 0.0002359
Epoch 153 | Train 0.5951 | Val 0.4767 | LR 0.0002351
Epoch 154 | Train 0.6046 | Val 0.4703 | LR 0.0002343
Epoch 155 | Train 0.6018 | Val 0.4691 | LR 0.0002336
Epoch 156 | Train 0.6008 | Val 0.4731 | LR 0.0002328
Epoch 157 | Train 0.5982 | Val 0.4766 | LR 0.0002320
Epoch 158 | Train 0.5985 | Val 0.4712 | LR 0.0002312
Epoch 159 | Train 0.5995 | Val 0.4668 | LR 0.0002304
Epoch 160 | Train 0.5879 | Val 0.4834 | LR 0.0002296
Epoch 161 | Train 0.6004 | Val 0.4663 | LR 0.0002288
Epoch 162 | Train 0.5907 | Val 0.4735 | LR 0.0002280
Epoch 163 | Train 0.6015 | Val 0.4739 | LR 0.0002272
Epoch 164 | Train 0.5970 | Val 0.4785 | LR 0.0002264
Epoch 165 | Train 0.5901 | Val 0.4674 | LR 0.0002256
Epoch 166 | Train 0.5934 | Val 0.4709 | LR 0.0002248
Epoch 167 | Train 0.5820 | Val 0.4739 | LR 0.0002239
Epoch 168 | Train 0.5839 | Val 0.4717 | LR 0.0002231
Epoch 169 | Train 0.5794 | Val 0.4790 | LR 0.0002223
Epoch 170 | Train 0.5904 | Val 0.4773 | LR 0.0002215
Epoch 171 | Train 0.5833 | Val 0.4708 | LR 0.0002206
Epoch 172 | Train 0.5849 | Val 0.4730 | LR 0.0002198
Epoch 173 | Train 0.5785 | Val 0.4683 | LR 0.0002190
Epoch 174 | Train 0.5941 | Val 0.4656 | LR 0.0002181
Epoch 175 | Train 0.5821 | Val 0.4713 | LR 0.0002173
Epoch 176 | Train 0.5886 | Val 0.4683 | LR 0.0002164
Epoch 177 | Train 0.5834 | Val 0.4662 | LR 0.0002156
Epoch 178 | Train 0.5814 | Val 0.4689 | LR 0.0002147
Epoch 179 | Train 0.5779 | Val 0.4693 | LR 0.0002139
Epoch 180 | Train 0.5844 | Val 0.4672 | LR 0.0002130
Epoch 181 | Train 0.5766 | Val 0.4672 | LR 0.0002122
Epoch 182 | Train 0.5753 | Val 0.4671 | LR 0.0002113
Epoch 183 | Train 0.5739 | Val 0.4663 | LR 0.0002105
Epoch 184 | Train 0.5711 | Val 0.4656 | LR 0.0002096
Epoch 185 | Train 0.5756 | Val 0.4647 | LR 0.0002087
Epoch 186 | Train 0.5798 | Val 0.4629 | LR 0.0002079
Epoch 187 | Train 0.5752 | Val 0.4709 | LR 0.0002070
Epoch 188 | Train 0.5763 | Val 0.4602 | LR 0.0002061
Epoch 189 | Train 0.5707 | Val 0.4710 | LR 0.0002053
Epoch 190 | Train 0.5702 | Val 0.4676 | LR 0.0002044
Epoch 191 | Train 0.5662 | Val 0.4699 | LR 0.0002035
Epoch 192 | Train 0.5697 | Val 0.4648 | LR 0.0002026
Epoch 193 | Train 0.5657 | Val 0.4657 | LR 0.0002017
Epoch 194 | Train 0.5632 | Val 0.4641 | LR 0.0002008
Epoch 195 | Train 0.5655 | Val 0.4642 | LR 0.0002000
Epoch 196 | Train 0.5614 | Val 0.4698 | LR 0.0001991
Epoch 197 | Train 0.5617 | Val 0.4727 | LR 0.0001982
Epoch 198 | Train 0.5601 | Val 0.4609 | LR 0.0001973
Epoch 199 | Train 0.5546 | Val 0.4686 | LR 0.0001964
Epoch 200 | Train 0.5644 | Val 0.4594 | LR 0.0001955
Epoch 201 | Train 0.5576 | Val 0.4625 | LR 0.0001946
Epoch 202 | Train 0.5569 | Val 0.4745 | LR 0.0001937
Epoch 203 | Train 0.5556 | Val 0.4605 | LR 0.0001928
Epoch 204 | Train 0.5550 | Val 0.4747 | LR 0.0001919
Epoch 205 | Train 0.5594 | Val 0.4672 | LR 0.0001910
Epoch 206 | Train 0.5476 | Val 0.4667 | LR 0.0001901
Epoch 207 | Train 0.5571 | Val 0.4654 | LR 0.0001892
Epoch 208 | Train 0.5563 | Val 0.4629 | LR 0.0001883
Epoch 209 | Train 0.5583 | Val 0.4651 | LR 0.0001873
Epoch 210 | Train 0.5520 | Val 0.4658 | LR 0.0001864
Epoch 211 | Train 0.5572 | Val 0.4693 | LR 0.0001855
Epoch 212 | Train 0.5503 | Val 0.4721 | LR 0.0001846
Epoch 213 | Train 0.5557 | Val 0.4656 | LR 0.0001837
Epoch 214 | Train 0.5433 | Val 0.4632 | LR 0.0001828
Epoch 215 | Train 0.5496 | Val 0.4575 | LR 0.0001818
Epoch 216 | Train 0.5431 | Val 0.4721 | LR 0.0001809
Epoch 217 | Train 0.5446 | Val 0.4690 | LR 0.0001800
Epoch 218 | Train 0.5433 | Val 0.4650 | LR 0.0001791
Epoch 219 | Train 0.5428 | Val 0.4596 | LR 0.0001781
Epoch 220 | Train 0.5449 | Val 0.4638 | LR 0.0001772
Epoch 221 | Train 0.5381 | Val 0.4685 | LR 0.0001763
Epoch 222 | Train 0.5366 | Val 0.4569 | LR 0.0001754
Epoch 223 | Train 0.5410 | Val 0.4606 | LR 0.0001744
Epoch 224 | Train 0.5417 | Val 0.4615 | LR 0.0001735
Epoch 225 | Train 0.5420 | Val 0.4596 | LR 0.0001726
Epoch 226 | Train 0.5363 | Val 0.4641 | LR 0.0001716
Epoch 227 | Train 0.5429 | Val 0.4574 | LR 0.0001707
Epoch 228 | Train 0.5375 | Val 0.4620 | LR 0.0001698
Epoch 229 | Train 0.5449 | Val 0.4705 | LR 0.0001688
Epoch 230 | Train 0.5424 | Val 0.4596 | LR 0.0001679
Epoch 231 | Train 0.5343 | Val 0.4677 | LR 0.0001670
Epoch 232 | Train 0.5347 | Val 0.4662 | LR 0.0001660
Epoch 233 | Train 0.5372 | Val 0.4633 | LR 0.0001651
Epoch 234 | Train 0.5419 | Val 0.4546 | LR 0.0001642
Epoch 235 | Train 0.5393 | Val 0.4634 | LR 0.0001632
Epoch 236 | Train 0.5310 | Val 0.4585 | LR 0.0001623
Epoch 237 | Train 0.5238 | Val 0.4672 | LR 0.0001613
Epoch 238 | Train 0.5299 | Val 0.4646 | LR 0.0001604
Epoch 239 | Train 0.5232 | Val 0.4671 | LR 0.0001595
Epoch 240 | Train 0.5273 | Val 0.4618 | LR 0.0001585
Epoch 241 | Train 0.5354 | Val 0.4550 | LR 0.0001576
Epoch 242 | Train 0.5284 | Val 0.4563 | LR 0.0001566
Epoch 243 | Train 0.5311 | Val 0.4663 | LR 0.0001557
Epoch 244 | Train 0.5216 | Val 0.4604 | LR 0.0001548
Epoch 245 | Train 0.5245 | Val 0.4651 | LR 0.0001538
Epoch 246 | Train 0.5283 | Val 0.4640 | LR 0.0001529
Epoch 247 | Train 0.5207 | Val 0.4584 | LR 0.0001519
Epoch 248 | Train 0.5204 | Val 0.4621 | LR 0.0001510
Epoch 249 | Train 0.5255 | Val 0.4540 | LR 0.0001500
Epoch 250 | Train 0.5206 | Val 0.4655 | LR 0.0001491
Epoch 251 | Train 0.5164 | Val 0.4687 | LR 0.0001482
Epoch 252 | Train 0.5176 | Val 0.4606 | LR 0.0001472
Epoch 253 | Train 0.5168 | Val 0.4628 | LR 0.0001463
Epoch 254 | Train 0.5226 | Val 0.4694 | LR 0.0001453
Epoch 255 | Train 0.5189 | Val 0.4633 | LR 0.0001444
Epoch 256 | Train 0.5196 | Val 0.4731 | LR 0.0001435
